source,source_key,tde_id,name,aliases,ra_deg,dec_deg,redshift,discovery_mjd,peak_mjd_ref,discovery_survey,class_label,confidence,host_name,log_mbh,notes,mag_value,mag_band,mag_basis,include_flag
otter,6576384,at2018bsi,AT 2018bsi,AT 2018bsi;ZTF18aahqkbt,123.860974754,45.592225495,0.051,58217.21199074074,58224.958333333365,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576386,at2020nov,AT 2020nov,AT 2020nov;PS20ggg;Gaia20duz;ZTF20abisysx;ATLAS20vfv,254.55404166666662,2.1175111111111113,0.084,59027.232557905096,,optical,tde,secure,WISEA J165812.98+020703.0,,source=OTTER; TDE; mag_basis=OTTER optical photometry (2023ApJS..266....9A); mag_value=17.518; mag_band=ztf.r,17.518,ztf.r,OTTER optical photometry (2023ApJS..266....9A),False
otter,6576388,at2020wey,AT 2020wey,AT 2020wey;Gaia20fck;ZTF20acitpfz;ATLAS20belb,136.357958,61.802538,0.02741,59130.49269,59150.00000000002,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576392,at2020mot,AT 2020mot,AT 2020mot;Gaia20ead;ZTF20abfcszi,7.806617,85.008879,0.07,59014.39380790509,59066.337523148126,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576394,at2020pj,AT 2020pj,AT 2020pj;ZTF20aabqihu;ATLAS20cab,232.895698316,33.094911147,0.068,58850.50952546296,58861.490000000034,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576398,at2018dyb,AT 2018dyb,AT 2018dyb;ASASSN-18pg,242.745322,-60.923441,0.018,58310.23,58346.72350000002,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6988698,at2018zr,AT 2018zr,AT 2018zr;ATLAS18nej;AT2018zr (PS18kh);ZTF18aabtxvd;PS18kh,119.227287,34.262119,0.071,58183.0,58204.95833333332,optical,tde,secure,SDSS J075654.53+341543.6,,source=OTTER; TDE; mag_basis=OTTER optical photometry (2018arXiv180902608V); mag_value=17.590; mag_band=r,17.59,r,OTTER optical photometry (2018arXiv180902608V),False
otter,7015447,at2023clx,AT 2023clx,AT 2023clx;ZTF18aabkvpi;ASASSN-23bd,175.039179,15.327375,0.01107,59997.21,60001.000000000015,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry (2024A&A...689A.350C); mag_value=15.370; mag_band=g,15.37,g,OTTER optical photometry (2024A&A...689A.350C),True
otter,9542074,asassn15lh,ASASSN-15lh,ASASSN-15lh;SN2015L,330.56399999999996,-61.6596,0.2326,57187.0,,optical,tde,secure,,,source=OTTER; SN TDE SLSN-I; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,9543100,at2016ezh,AT 2016ezh,AT 2016ezh;SN2016ezh;CSS160902:015805-005222;PS16dtm,29.51975,-0.8726944444444444,0.08,57612.0,,optical,tde,secure,,,source=OTTER; SN TDE SN II SLSN-II; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
