event,field,program,star_id,classification,ef_classification,al_classification,ra,dec,ra_deg,dec_deg,t_0,t_eff,t_e,u_0,isource,ibase,icat,ctype,a_i,ogle_moa,related_event,extra_type
KMT-2024-BLG-2350,BLG31N0505,,015262,,clear,clear,18:15:21.69,-26:22:06.10,273.840375,-26.3683611111,60586.50059,,61.7,0.961,18.89,18.43,18.43,1.0,0.9,,OB241251,
KMT-2024-BLG-2351,BLG35N0302,,083504,,clear,clear,18:07:40.02,-26:45:14.29,271.91675,-26.7539694444,60553.23165,,15.18,0.127,20.4,20.0,20.43,1.0,0.98,,,
KMT-2024-BLG-2352,BLG41M0806,,004810,,clear,clear,17:54:20.91,-30:30:10.40,268.587125,-30.5028888889,60544.90237,,18.66,0.071,22.17,17.09,17.09,1.0,1.53,,,
KMT-2024-BLG-2353,BLG41T0104,,072406,,possible,probable,17:53:37.38,-31:51:21.31,268.40575,-31.8559194444,60548.89992,,6.16,0.289,20.74,20.0,20.36,1.0,1.76,,,
KMT-2024-BLG-2354,BLG41T0808,,003509,,clear,clear,17:49:42.56,-31:21:52.20,267.4273333333,-31.3645,60561.27232,,28.24,0.654,20.0,20.0,20.46,2.0,6.31,,,
KMT-2024-BLG-2355,BLG43K0802,,037322,,clear,probable,17:57:17.36,-27:52:40.01,269.3223333333,-27.8777805556,60570.71618,,47.61,0.535,19.9,20.0,21.05,2.0,3.17,,OB241158,
KMT-2024-BLG-2356,SSO43M0308,,017307,,clear,clear,18:04:53.03,-27:04:09.98,271.2209583333,-27.0694388889,60582.93592,,51.82,0.005,18.34,18.27,18.27,1.0,1.12,,MB24235,
KMT-2024-BLG-2357,SAO43M0802,,094197,,clear,clear,18:02:04.71,-27:52:46.74,270.519625,-27.87965,60548.35641,,6.77,0.096,19.99,20.0,21.03,2.0,1.33,,,
KMT-2024-BLG-2358,BLG43N0405,,058386,,clear,probable,18:04:24.30,-28:30:07.99,271.10125,-28.5022194444,60548.71307,,5.03,0.981,19.43,19.3,19.3,1.0,0.94,,,
KMT-2024-BLG-2359,BLG43T0201,,018466,,clear,clear,18:00:50.70,-29:02:25.40,270.21125,-29.0403888889,60549.69265,,14.63,0.999,18.45,18.11,18.11,1.0,1.01,,OB241137,
KMT-2024-BLG-2360,SAO43T0808,,001982,,clear,clear,17:57:07.79,-28:14:12.01,269.2824583333,-28.2366694444,60584.6105,,22.96,0.956,16.6,15.79,15.79,1.0,1.93,,OB241195 MB24252,
KMT-2024-BLG-2361,BLG01M0304,,005916,,clear,clear,17:57:34.74,-30:41:44.09,269.39475,-30.6955805556,60563.34129,,31.26,0.043,20.35,17.58,17.58,1.0,1.61,,OB241245 MB24231,
KMT-2024-BLG-2362,BLG02M0704,,006439,,X,clear,17:55:33.49,-28:34:36.55,268.8895416667,-28.5768194444,60553.28546,,4.93,0.997,17.95,17.64,17.64,2.0,2.73,,,
KMT-2024-BLG-2363,BLG02T0202,,102710,,clear,clear,17:53:12.59,-29:55:50.99,268.3024583333,-29.9308305556,60555.62136,,22.27,0.041,20.74,20.0,20.24,1.0,1.62,,,
KMT-2024-BLG-2364,BLG03N0308,,030220,,clear,clear,18:05:30.46,-28:00:59.29,271.3769166667,-28.0164694444,60549.36469,,20.92,0.028,22.47,18.59,18.59,1.0,0.86,,,
KMT-2024-BLG-2365,SAO04K0304,,045434,,clear,clear,18:02:32.17,-29:30:21.31,270.6340416667,-29.5059194444,60557.47679,,17.55,0.092,19.56,19.38,19.38,1.0,1.23,,MB24224,
KMT-2024-BLG-2366,SSO04N0407,,017874,,clear,clear,18:06:45.29,-30:18:29.41,271.6887083333,-30.3081694444,60554.97183,,18.86,0.024,20.04,18.59,18.59,1.0,0.8,,,
KMT-2024-BLG-2367,BLG04T0605,,086218,,clear,clear,18:00:18.16,-30:30:25.81,270.0756666667,-30.5071694444,60556.95329,,20.07,0.056,20.2,20.0,20.57,1.0,1.16,,,
KMT-2024-BLG-2368,BLG13N0407,,018911,,X,clear,17:37:55.99,-34:38:47.44,264.4832916667,-34.6465111111,60548.07669,,77.54,0.138,21.64,20.0,20.3,2.0,3.1,,,
KMT-2024-BLG-2369,BLG15K0405,,028982,,X,clear,17:34:49.90,-26:12:59.94,263.7079166667,-26.21665,60549.17776,,12.36,0.029,23.28,20.0,21.17,2.0,2.93,,,
KMT-2024-BLG-2370,BLG18K0507,,005022,,clear,clear,17:43:17.04,-25:50:51.18,265.821,-25.84755,60548.49768,,8.37,0.987,19.2,18.09,18.09,2.0,2.85,,,
KMT-2024-BLG-2371,BLG19T0206,,046256,,X,clear,17:44:53.61,-25:01:18.12,266.223375,-25.0217,60548.68642,,195.9,0.025,24.41,20.0,21.27,2.0,3.09,,,
KMT-2024-BLG-2372,BLG22T0405,,036564,,clear,clear,17:51:59.40,-33:43:59.84,267.9975,-33.7332888889,60597.2631,,61.05,0.531,19.9,20.0,20.72,2.0,2.18,,,
