asassn_id,other_ids,atel_tns,ra,dec,discovery_ut,v_g_mag,sdss,dss,vizier,spectroscopic_class,comments,ra_deg,dec_deg
,AT2023ixg (= MLT J074824.10-703558.7),-,7:48:24.58,-70:35:59.2,2023-05-25.01,17.39,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/19.800, Type unknown",117.10241666666666,-70.59977777777777
,AT2023ipx (= ZTF23aajmpsa),-,15:38:1.64,14:24:42.7,2023-05-25.27,17.57,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/14.300, Type unknown",234.50683333333333,14.411861111111111
,AT2023jbu (= ZTF23aaladoy),-,18:40:43.85,27:1:25.1,2023-05-25.36,16.03,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/21.368, Type unknown",280.1827083333334,27.02363888888889
,AT2023jiz (= ATLAS23lgk),-,8:35:7.52,-3:58:17.4,2023-05-24.01,14.37,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/24.698, Type unknown",128.78133333333332,-3.9715000000000003
ASASSN-23dz,,-,12:16:45.05,14:45:36,2023-05-23.26,16.97,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.1 on 2023-05-20.26, g=17.9 on 2023-05-22.25, g=17.3 on 2023-05-23.26, g=17.8 on 2023-05-24.24",184.18770833333332,14.76
ASASSN-23ec,,-,19:45:53.22,5:20:4.2,2023-05-22.42,15.49,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=19.7, g>17.9 on 2023-05-17.42, g=15.9 on 2023-05-22.41, g>18.3 on 2023-05-25.22",296.47175,5.334499999999999
ASASSN-23eb,,-,14:15:30.39,-39:27:47,2023-05-22.31,15.2,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=19.5, g>18.4 on 2023-05-21.31, g=15.5 on 2023-05-22.31, g>18.0 on 2023-05-25.31",213.876625,-39.463055555555556
ASASSN-23ea,,-,17:58:34.32,-26:52:29.6,2023-05-22.32,15.58,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=18.7, g>16.1 on 2023-05-02.90, g=17.0 on 2023-05-11.23, g=15.5 on 2023-05-15.34, g=15.9 on 2023-05-25.35",269.643,-26.87488888888889
,AT2023jaa (= ZTF23aaktwsx),-,18:59:56.74,-20:16:40.8,2023-05-20.21,15.08,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/20.398, Type unknown",284.9864166666667,-20.278
,SN 2023hsy (= ZTF23aaiyjbk),-,11:9:46.34,11:11:33.1,2023-05-16.86,16.59,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.037730, discovered 2023/05/09.191, Type Ia",167.44308333333333,11.192527777777778
,SN 2023hsw (= ZTF21aamwlzd),-,11:8:20.06,10:2:34.7,2023-05-16.86,17.07,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0417, discovered 2023/05/09.191, Type Ia",167.0835833333333,10.042972222222222
ASASSN-23dy,,-,20:4:24.84,-32:19:18.6,2023-05-17.09,16.13,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>16.1 on 2023-05-14.43, g=17.7 on 2023-05-16.08, g=17.5 on 2023-05-17.09.",301.1035,-32.32183333333334
,SN 2023ftg (= ATLAS23hyg),-,18:8:11.47,11:43:10,2023-05-16.22,16.92,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.02, discovered 2023/04/16.000, Type II",272.0477916666667,11.719444444444445
,AT2023ipw (= ZTF23aajnjft),-,16:43:44.44,-19:7:1.7,2023-05-15.97,16.45,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/14.335, Type unknown",250.93516666666665,-19.11713888888889
,AT2023fvg (= ATLAS23igl),-,13:10:45.8,-29:26:26.4,2023-05-15.97,17.76,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/15.196, Type unknown",197.69083333333333,-29.440666666666665
,SN 2023gxc (= ZTF23aahyznf),-,13:26:19.08,1:32:29.5,2023-05-16.32,17.91,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.077700, discovered 2023/04/27.296, Type Ia",201.5795,1.5415277777777776
,SN 2023grn (= ZTF23aahkmbj),-,10:7:32.35,-12:57:40.6,2023-05-15.13,17.65,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.049, discovered 2023/04/22.228, Type Ia",151.88479166666667,-12.961277777777777
,SN 2023hsu (= ZTF23aaijkwo),-,14:4:34.49,-10:14:5.3,2023-05-15.41,16.97,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.038, discovered 2023/04/29.315, Type Ia",211.14370833333334,-10.234805555555555
,AT2023iez (= ZTF23aajjayv),-,13:7:0.69,6:59:21.5,2023-05-15.32,13.91,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/13.310, Type unknown",196.752875,6.989305555555555
,SN 2023hrn (= ATLAS23kbm),-,11:8:35.18,4:48:51.3,2023-05-15.25,16.17,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.023103, discovered 2023/05/08.085, Type Ia",167.14658333333333,4.8142499999999995
,AT2023hwf (= ATLAS23kda),-,11:31:28.65,8:40:41.4,2023-05-15.33,16.7,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/09.840, Type unknown",172.869375,8.678166666666666
,SN 2023hri (= ATLAS23kat),-,19:14:23.12,-54:33:49.3,2023-05-15.32,15.58,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.017129, discovered 2023/05/07.257, Type Ia",288.59633333333335,-54.563694444444444
,AT2023hxo (= PS23cxc),-,11:5:50.01,-9:52:14.3,2023-05-15.15,17.41,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/11.258, Type unknown",166.458375,-9.87063888888889
ASASSN-23dx,AT 2023ion,-,14:12:58.36,31:27:31.4,2023-05-15.39,17.26,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",213.24316666666667,31.45872222222222
ASASSN-23dv,AT 2023inb,-,15:56:34.83,-31:22:5.8,2023-05-15.33,16.16,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",239.145125,-31.368277777777777
ASASSN-23du,SN 2023ijd,-,12:36:32.57,11:13:20.2,2023-05-14.2,16.48,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",189.13570833333333,11.222277777777778
,SN 2023hro (= ATLAS23kbn),-,12:43:46.5,-20:9:29.3,2023-05-13.3,16.36,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.027309, discovered 2023/05/07.953, Type Ia",190.94375000000002,-20.15813888888889
,SN 2023hzf (= ZTF23aaiwxqy),-,14:19:50.15,-9:18:0.4,2023-05-12.42,17.33,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.052, discovered 2023/05/08.358, Type Ia",214.95895833333333,-9.300111111111113
ASASSN-23dw,,-,12:18:52.52,17:34:19.9,2023-05-12.3,15.88,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.4 on 2023-05-11.30, g=16.3 on 2023-05-12.30, g=16.4 on 2023-05-13.38, g=16.8 on 2023-05-15.38",184.71883333333335,17.572194444444445
,SN 2023hka (= ZTF23aaikcdx),-,14:10:58.37,-27:3:43.1,2023-05-12.09,15.77,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.021538, discovered 2023/04/29.378, Type Ia",212.7432083333333,-27.061972222222224
ASASSN-23dt,,-,16:21:53.98,-71:6:53,2023-05-11.29,15.74,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.5 on 2023-05-09.24, g=17.1 on 2023-05-10.23, g=16.1 on 2023-05-11.28, g>16.6 on 2023-05-12.38, g=15.9 on 2023-05-12.39.",245.47491666666667,-71.11472222222221
,AT2023gpw (= ZTF23aagklwb),-,13:2:18.61,-5:51:11.4,2023-05-11.17,16.46,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/17.276, Type unknown",195.57754166666666,-5.853166666666667
,SN 2023goe (= ATLAS23jky),-,15:51:33.17,13:19:24.9,2023-05-10.53,16.82,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.03551, discovered 2023/04/23.300, Type Ia",237.88820833333332,13.323583333333334
,SN 2023guy (= ZTF23aahvmpq),-,12:55:55.47,7:55:51.1,2023-05-10.41,16.66,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.041528, discovered 2023/04/26.276, Type Ia",193.981125,7.930861111111112
,SN 2023hjq (= ATLAS23jtz),-,13:33:12.81,-16:8:25.4,2023-05-10.32,15.99,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.020841, discovered 2023/04/30.867, Type Ia",203.30337500000002,-16.14038888888889
ASASSN-23ds,,-,6:23:13.55,-15:29:6.8,2023-05-9.97,16.23,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.9 on 2023-05-07.98, g=17.1 on 2023-05-08.98, g=16.6 on 2023-05-09.97",95.80645833333334,-15.485222222222221
,AT2023hdz (= ATLAS23jsx),-,6:22:36.55,-76:22:45.9,2023-05-8.7,16.79,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/29.779, Type unknown",95.65229166666666,-76.37941666666666
ASASSN-23dr,AT 2023hsr,-,6:22:11.09,-32:36:33.9,2023-05-8.03,11.18,SDSS,DSS,VIZIER,-,"Bright CV candidate, matches to GAIA DR3 G=18.9, g>16.8 on 2023-05-07.03, g=11.5 on 2023-05-08.03, g=10.5 on 2023-05-09.01",95.54620833333334,-32.60941666666667
,AT2023hpc (= ATLAS23jxd),-,3:59:54.54,-84:5:34.8,2023-05-6.69,15.15,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/02.704, Type unknown",59.977250000000005,-84.09299999999999
ASASSN-23dq,,-,18:42:39.71,64:31:3,2023-05-5.43,15.02,SDSS,DSS,VIZIER,-,"CV candidate, matches to SDSS g=22.3, g>17.8 on 2023-05-02.54, g=15.3 on 2023-05-05.44, g=16.1 on 2023-05-07.43.",280.66545833333333,64.5175
,AT2023ftl (= Gaia23bnt),-,0:42:57.89,-59:1:8.8,2023-05-2.42,16.87,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/03/25.849, Type unknown",10.741208333333333,-59.01911111111111
ASASSN-23do,,-,22:8:14.46,13:12:9.8,2023-05-2.38,14.6,SDSS,DSS,VIZIER,-,"CV candidate, matches to SDSS DR7 g=22.7, g>17.1 on 2023-04-27.12, g=14.9 on 2023-05-02.38",332.06025,13.20272222222222
,SN 2023gqi (= ATLAS23jml),-,21:29:39.92,-21:11:30.4,2023-05-1.31,16.79,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.036, discovered 2023/04/24.367, Type Ia",322.41633333333334,-21.191777777777776
ASASSN-23dn,AT 2023hlu,-,23:1:15.69,14:20:39.6,2023-05-1.41,15.63,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",345.31537499999996,14.344333333333333
,SN 2023gqs (= ATLAS23jmt),-,13:49:23.95,35:0:52.1,2023-05-1.14,16.28,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.026, discovered 2023/04/24.351, Type Ia",207.34979166666665,35.014472222222224
ASASSN-23dp,,-,16:6:44.2,-16:11:46,2023-04-30.38,14.29,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.2, g>17.9 on 2023-04-25.46, g=14.7 on 2023-04-30.38, g=15.0 on 2023-05-01.36",241.6841666666667,-16.19611111111111
ASASSN-23dl,,-,11:32:14.41,-47:2:33.3,2023-04-29.28,15.77,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.0, g>18.0 on 2023-04-27.06, g=15.8 on 2023-04-28.82, g=16.5 on 2023-04-28.86, g=16.3 on 2023-04-30.04",173.06004166666668,-47.04258333333333
ASASSN-23dk,,-,7:1:19.4,-30:33:55.5,2023-04-28.99,14.72,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.5 on 2023-04-25.06, g=17.2 on 2023-04-27.06, g=15.0 on 2023-04-28.98, g=15.3 on 2023-04-30.99",105.33083333333333,-30.565416666666668
ASASSN-23dj,,-,18:1:6.44,-45:44:5.4,2023-04-29.25,15.24,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=16.6, g>17.5 on 2023-04-28.24, g=15.6 on 2023-04-29.24, g=15.7 on 2023-04-29.27",270.27683333333334,-45.734833333333334
ASASSN-23di,,-,17:58:31.56,-37:43:4,2023-04-27.37,11.92,SDSS,DSS,VIZIER,-,"Possible bright M-dwarf flare event, matches to GAIA DR3 G=11.3, g>18.2 on 2023-04-25.24, g=15.9 on 2023-04-26.21, g=12.2 on 2023-04-27.37",269.63149999999996,-37.717777777777776
ASASSN-23dh,,-,21:3:21.48,18:23:31.1,2023-04-27.61,12.71,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=19.9, g>18.6 on 2023-04-23.53, g=13.0 on 2023-04-27.61",315.8395,18.391972222222222
,2023fud (= ATLAS23ibl),-,12:57:19.99,-17:7:51.2,2023-04-26.05,17.39,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.047149, discovered 2023/04/15.194, Type Ia",194.33329166666667,-17.13088888888889
,PNV J17224490-4137160,-,17:22:45.09,-41:37:16.4,2023-04-26.33,9.16,SDSS,DSS,VIZIER,-,"known Possible Galactic Nova, discovered 2023/04/20.687",260.687875,-41.62122222222222
,AT2023feq (= ZTF23aaeyugg),-,16:39:20.07,29:32:33.9,2023-04-25.37,16.95,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/11.343, Type unknown",249.83362499999998,29.54275
ASASSN-23dg,,-,14:29:36.24,32:26:30.1,2023-04-25.15,16.24,SDSS,DSS,VIZIER,-,"CV candidate, matches to SDSS DR7 g=21.3, g>17.1 on 2023-04-20.47, g=16.7 on 2023-04-23.39, g=16.7 on 2023-04-25.15, g=17.2 on 2023-04-27.36",217.40099999999998,32.441694444444444
,2023gft (= ATLAS23ioj),-,21:26:1.34,-3:47:53.7,2023-04-25.57,14.93,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0098, discovered 2023/04/20.379, Type Ia",321.50558333333333,-3.79825
,2023fnj (= ATLAS23hna),-,11:50:32.41,6:33:57.2,2023-04-24.05,16.83,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.02, discovered 2023/04/14.145, Type Ia",177.63504166666667,6.565888888888889
,2023aew (=ZTF23aaawbsc),-,17:40:51.22,66:12:23.9,2023-04-24.39,16.92,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.025, discovered 2023/01/23.511, Type IIb",265.21341666666666,66.20663888888889
,2023ext (= PS23bmh),-,11:0:3.62,8:10:2,2023-04-24.33,17.1,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.037528, discovered 2023/04/09.276, Type Ia",165.01508333333334,8.167222222222222
,2023ftr (= ZTF23aafsglu),-,9:16:50.1,20:10:41.6,2023-04-24.05,16.31,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.028384, discovered 2023/04/16.172, Type Ia",139.20875,20.178222222222225
,AT2023fpb (= ATLAS23hva),-,8:52:8.6,11:31:18.3,2023-04-24.07,16.41,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.029902, discovered 2023/04/14.067, Type unknown",133.03583333333336,11.52175
,2023ggw (= ZTF23aagcicf),-,15:2:54.49,17:8:46.2,2023-04-23.32,17.3,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.036980, discovered 2023/04/20.380, Type Ia",225.72704166666668,17.146166666666666
,AT2023ewo (= ZTF23aaemepn),-,10:22:21.45,61:55:22.4,2023-04-23.33,16.93,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.051274, discovered 2023/04/09.304, Type unknown",155.58937500000002,61.922888888888885
,2023gfo (= ATLAS23ioa),-,13:9:39.76,-7:50:12.9,2023-04-23.3,15.86,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.006, discovered 2023/04/20.209, Type II",197.41566666666665,-7.836916666666666
,2023fxj (= ZTF23aafsjor),-,11:28:37.89,50:49:31.7,2023-04-23.38,16.84,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.038, discovered 2023/04/16.178, Type Ia",172.157875,50.825472222222224
ASASSN-23df,,-,7:19:14.69,-41:15:50.1,2023-04-23.09,15.94,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.5 on 2023-04-21.96, g=16.3 on 2023-04-23.09, g=16.4 on 2023-04-25.08",109.81120833333333,-41.26391666666667
ASASSN-23dc,,-,19:18:17.49,-20:13:3.3,2023-04-23.25,14.96,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.3 on 2023-04-22.25, g=15.4 on 2023-04-23.25, g=15.3 on 2023-04-23.25.",289.572875,-20.21758333333333
,AT2023hks (= ZTF23aaiurvg),-,21:16:41.09,20:40:1.1,2023-04-23.53,15.59,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/05/01.429, Type unknown",319.1712083333333,20.666972222222224
ASASSN-23de,,-,8:34:26.44,-53:58:25.7,2023-04-23.1,16.95,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.0, g>16.8 on 2023-04-12.21, g=16.9 on 2023-04-14.12, g=17.2 on 2023-04-16.87, g=17.4 on 2023-04-23.10",128.61016666666666,-53.97380555555556
ASASSN-23dd,,-,14:34:24.3,-53:26:10.5,2023-04-23.06,16.61,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=13.1, g>16.7 on 2023-04-17.32, g=17.2 on 2023-04-18.21, g=16.9 on 2023-04-23.06, g=17.5 on 2023-04-25.23",218.60125,-53.436249999999994
,AT2023fnf (= ATLAS23hml),-,18:55:10.04,-78:54:43.4,2023-04-23.22,16.82,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/12.150, Type unknown",283.7918333333334,-78.91205555555557
,AT2023exg (= ZTF23aaenlme),-,17:44:10.38,-13:13:54.8,2023-04-22.39,17.01,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/08.220, Type unknown",266.04325,-13.23188888888889
,2023exu (= PS23bmi),-,10:32:40.03,12:10:50.2,2023-04-22.12,16.43,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.032948, discovered 2023/04/09.273, Type Ia-91T",158.16679166666665,12.18061111111111
ASASSN-23db,,-,12:16:13.27,-68:17:14.3,2023-04-22.06,15.91,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=19.5, g>17.7 on 2023-04-20.17, g=16.4 on 2023-04-22.07, g=17.0 on 2023-04-24.30.",184.05529166666668,-68.28730555555555
ASASSN-23da,,-,17:25:38.87,-47:7:53.3,2023-04-20.41,15.16,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.3 on 2023-04-16.18, g=14.8 on 2023-04-17.38, g=15.9 on 2023-04-22.29, g=16.3 on 2023-04-24.29",261.41195833333336,-47.13147222222222
,AT2023fax (= ZTF23aaeqonb),-,14:38:27.27,30:1:46.7,2023-04-19.15,17.01,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/10.326, Type unknown",219.61362499999998,30.029638888888886
,AT2023fdk (= ATLAS23hlh),-,21:9:22.08,-23:15:2.4,2023-04-19.33,16.68,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.029200, discovered 2023/04/11.132, Type unknown",317.342,-23.250666666666667
,2023foa (= KATS23G001),-,17:3:59.29,24:11:11.5,2023-04-18.27,16.89,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.04, discovered 2023/04/13.823, Type Ia",255.99704166666666,24.186527777777776
,AT2023exw (= ATLAS23hkd),-,21:33:59.91,-4:0:6.9,2023-04-18.35,15,SDSS,DSS,VIZIER,-,"known transient, z unknown, discovered 2023/04/10.396, Type CV",323.49962500000004,-4.001916666666666
ASASSN-23cy,AT 2023gcl,-,23:24:33.72,-19:3:24.5,2023-04-18.4,16.22,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",351.1405,-19.056805555555556
,AT2023fqy (= ATLAS23hxn),-,20:4:30.44,-33:45:49.2,2023-04-18.28,15.61,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/15.377, Type unknown",301.12683333333337,-33.763666666666666
ASASSN-23cz,,-,19:8:15.75,-2:8:48.8,2023-04-17.4,15.71,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.4, g>18.1 on 2023-04-16.27, g=16.3 on 2023-04-17.36, g=16.3 on 2023-04-17.39, g=16.5 on 2023-04-19.05",287.065625,-2.146888888888889
ASASSN-23cx,,-,16:16:51.82,-22:15:7.9,2023-04-17.47,16.29,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=16.9, g>17.3 on 2023-04-13.41, g=17.1 on 2023-04-14.24, g=16.6 on 2023-04-17.47, g=16.7 on 2023-04-18.36.",244.21591666666666,-22.252194444444445
,AT2023epk (= ATLAS23hgj),-,19:18:49.77,52:52:3.1,2023-04-16.44,17.28,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/06.589, Type unknown",289.707375,52.86752777777778
,AT2023fpa (= ATLAS23huz),-,5:50:49.94,-33:5:37.3,2023-04-16.06,16.84,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/13.741, Type unknown",87.70808333333332,-33.093694444444445
,AT2023fnn (= Gaia23blq),-,17:17:54.44,-7:55:39.7,2023-04-16.25,16.4,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/08.715, Type unknown",259.47683333333333,-7.927694444444445
,2023eiw (= PS23bcs),-,12:28:45.98,46:31:16.9,2023-04-16.27,17.26,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.025142 discovered 2023/03/29.153, Type Ic-BL",187.19158333333334,46.52136111111111
,2023eob (= ATLAS23gzx),-,15:31:53.12,-31:10:13.1,2023-04-15.89,16.36,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.022456, discovered 2023/04/04.989, Type Ia",232.97133333333335,-31.170305555555558
,2023eyt (= ZTF23aaeqhrg),-,14:41:39.19,36:39:5,2023-04-15.32,17.21,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.025, discovered 2023/04/08.457, Type Ia",220.41329166666665,36.65138888888889
,AT2023exm (= ATLAS23hjq),-,11:13:35.91,-14:47:36.7,2023-04-15.25,16.54,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/09.221, Type unknown",168.39962500000001,-14.793527777777777
,AT2023flk (= ATLAS23hmb),-,4:51:4.49,-36:13:58,2023-04-15.04,17.8,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/11.982, Type unknown",72.76870833333332,-36.23277777777778
,AT2023eue (= ATLAS23hjn),-,12:55:0.78,38:36:8,2023-04-15.27,17.68,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.051793, discovered 2023/04/09.462, Type unknown",193.75324999999998,38.602222222222224
ASASSN-23cu,,-,6:9:37.86,30:46:52.7,2023-04-15.11,13.75,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=20.2, g>18.6 on 2023-04-10.24, g=14.0 on 2023-04-14.10, g=14.2 on 2023-04-15.11. g=14.5 on 2023-04-16.97",92.40775000000001,30.781305555555555
ASASSN-23cv,,-,9:59:10.67,-60:15:43,2023-04-15.05,16.04,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.0, g>17.9 on 2023-04-13.16, g=16.6 on 2023-04-13.73, g=16.1 on 2023-04-15.04, g=16.4 on 2023-04-17.01.",149.79445833333332,-60.261944444444445
,2023eoc (= PSP23F),-,16:11:30.35,52:27:39.7,2023-04-15.37,15.97,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.036, discovered 2023/04/04.810, Type Ia",242.87645833333335,52.46102777777778
ASASSN-23cs,AT 2023fro,-,21:4:27.23,-48:14:20.2,2023-04-14.39,15.88,SDSS,DSS,VIZIER,-,"Nuclear source, so could be a TDE, posted to TNS",316.1134583333333,-48.23894444444444
ASASSN-23ct,,-,7:55:58.91,-50:31:7.3,2023-04-14.02,16.22,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=19.1, g>17.5 on 2023-04-10.18, g=16.7 on 2023-04-11.18, g=16.9 on 2023-04-15.17, g=17.3 on 2023-04-16.14.",118.99545833333333,-50.51869444444444
ASASSN-23cw,,-,21:44:6.98,41:10:56.6,2023-04-14.58,14.43,SDSS,DSS,VIZIER,-,"Outburst from a previously non-variable star, matches to PS1 g=14.0, g>16.9 on 2023-04-03.49, g=14.5 on 2023-04-09.60, g=14.9 on 2023-04-16.58.",326.02908333333335,41.18238888888889
ASASSN-23cq,,-,12:36:38.04,2:13:26.5,2023-04-13.26,14.4,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.7, g>18.1 on 2023-04-12.36, g=14.6 on 2023-04-13.26",189.1585,2.2240277777777777
,2023dxj (= ATLAS23ejf),-,9:43:55.58,-2:36:39.1,2023-04-12.26,16.64,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.05 discovered 2023/03/25.353, Type Ia",145.98158333333333,-2.6108611111111113
ASASSN-23cp,,-,7:3:22.87,16:29:47.1,2023-04-12.17,17.19,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.8, g>17.5 on 2023-04-09.19, g=17.3 on 2023-04-10.06, g=17.0 on 2023-04-10.20, g=17.3 on 2023-04-13.06",105.84529166666667,16.49641666666667
,AT2023fdj (= ATLAS23hlg),-,13:56:28.91,-36:33:53.1,2023-04-11.78,17.12,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/11.019, Type unknown",209.12045833333332,-36.56475
,AT2023exk (= ATLAS23hjo),-,5:2:6.08,-8:14:40.1,2023-04-11.98,16.63,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2023/04/10.008, Type unknown",75.52533333333334,-8.244472222222221
ASASSN-23cr,AT 2023fni,-,6:40:35.47,-36:51:26.8,2023-04-12.12,16.96,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",100.14779166666668,-36.85744444444445
ASASSN-23co,,-,9:55:31.31,-60:25:39.5,2023-04-12.23,15.54,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.0, g>18.0 on 2023-04-11.01, g=15.7 on 2023-04-12.19, g=16.1 on 2023-04-12.98, g=16.3 on 2023-04-13.16",148.88045833333334,-60.427638888888886
,2023epj (= ATLAS23hgi),-,12:59:53.63,26:49:10.3,2023-04-12.11,15.76,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0267 discovered 2023/04/07.427, Type Ia",194.97345833333333,26.81952777777778
,2023dxb (= ATLAS23eix),-,8:12:0.86,19:21:51,2023-04-10.73,16.36,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.03 discovered 2023/03/26.059, Type Ia-91T",123.00358333333332,19.36416666666667
ASASSN-23cn,,-,8:1:13.55,-31:15:16.7,2023-04-11.12,15.33,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.7 on 2023-04-09.10, g=15.9 on 2023-04-10.13, g=15.6 on 2023-04-11.12, g=15.6 on 2023-04-11.14",120.30645833333335,-31.254638888888888
,AT2023chb (= Gaia23ats),-,10:9:48.83,-53:25:2.1,2023-04-9.89,13.85,SDSS,DSS,VIZIER,-,"known microlensing event candidate, z unknown, discovered 2023/02/18.305",152.45345833333334,-53.417249999999996
