asassn_id,other_ids,atel_tns,ra,dec,discovery_ut,v_g_mag,sdss,dss,vizier,spectroscopic_class,comments,ra_deg,dec_deg
ASASSN-26bp,,-,15:3:25.23,-63:11:22.2,2026-03-11.92,13.33,SDSS,DSS,VIZIER,-,"Star Undergoing Deep Dimming Events, matches Gaia g=12.4, ASAS-SN lightcurve",225.85512500000002,-63.189499999999995
,AT2024cmo (ATLAS24cll),-,13:9:37.25,-35:50:25.2,2026-03-11.12,16.29,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2024/02/13.262, Type unknown",197.40520833333335,-35.840333333333334
,AT2026fdy (ATLAS26csa),-,13:6:1.97,-15:50:14.4,2026-03-10.33,16.68,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/03/09.485, Type unknown",196.50820833333333,-15.837333333333333
ASASSN-26bn,,-,11:30:9.7,-47:26:45,2026-03-10.3,15.14,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.7 on 2026-03-08.15, g=17.2 on 2026-03-08.79, g=15.9 on 2026-03-09.10, g=15.6 on 2026-03-11.26",172.54041666666666,-47.44583333333333
,(= Gaia DR3 2960575279879332480),-,5:3:25.25,-24:16:50.4,2026-03-9.09,14.32,SDSS,DSS,VIZIER,-,"known transient, z unknown, discovered unknown, Type UG",75.85520833333334,-24.280666666666665
ASASSN-26bm,SN 2026fcf,-,3:42:32.53,-4:17:53.7,2026-03-8.04,15.22,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",55.63554166666667,-4.2982499999999995
ASASSN-26bl,AT 2026fbz,-,4:31:0.53,-68:29:50.2,2026-03-7.9,10.26,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",67.75220833333333,-68.49727777777778
,SN 2026dkf (GOTO26bac),-,16:18:17.61,41:25:11.4,2026-03-6.31,16.7,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.059186, discovered 2026/02/17.227, Type II",244.573375,41.41983333333333
,SN 2026ejl (AT2026ejl),-,13:45:0.35,61:16:50.9,2026-03-6.41,-0.66,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.034799, discovered 2026/02/25.091, Type unknown",206.25145833333335,61.28080555555555
ASASSN-26bk,,-,9:27:45.48,-37:49:32.8,2026-03-2.3,13.11,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.6 on 2026-03-01.22, g=13.9 on 2026-03-02.07, g=13.5 on 2026-03-03.02",141.93949999999998,-37.82577777777778
ASASSN-26bi,,-,20:22:1.2,23:47:47.3,2026-02-28.51,15.86,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.0, g>16.1 on 2026-02-23.53, g=16.0 on 2026-02-27.51, g=16.5 on 2026-03-01.51, g>17.1 on 2026-03-02.51",305.505,23.796472222222224
,AT2026enm (ZTF18aawpmgu),-,11:16:22.1,29:26:22.8,2026-02-28.39,16.88,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/02/25.402, Type unknown",169.09208333333336,29.439666666666668
ASASSN-26bh,,-,8:5:59.83,-48:39:35.6,2026-02-26.05,14.64,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.3 on 2026-02-24.12, g=15.1 on 2026-02-26.05, g=16.3 on 2026-03-02.00",121.49929166666668,-48.65988888888889
ASASSN-26bg,,-,13:24:27.02,-45:57:1.4,2026-02-26.35,15.28,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.7, g>18.7 on 2026-02-25.14, g=17.5 on 2026-02-26.08, g=16.3 on 2026-02-26.21, g=15.7 on 2026-02-26.35, g=14.1 on 2026-02-26.91",201.11258333333333,-45.950388888888895
ASASSN-26bf,,-,17:27:50.95,-68:28:46.4,2026-02-26.3,16.28,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=20.7, g>18.1 on 2026-02-21.33, g=16.5 on 2026-02-22.32, g=16.9 on 2026-02-27.37",261.96229166666666,-68.47955555555556
ASASSN-26be,,-,18:3:39.29,19:58:46.3,2026-02-25.56,14.95,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.6, g>18.0 on 2026-02-24.60, g=15.1 on 2026-02-25.58, g=13.2 on 2026-02-26.45",270.9137083333334,19.979527777777776
,SN 2026crm (GOTO26asa),-,17:40:18.19,7:20:59.6,2026-02-24.34,16.9,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.04, discovered 2026/02/09.272, Type Ia",265.0757916666667,7.349888888888889
ASASSN-26bb,,-,18:38:36.11,-79:28:58.4,2026-02-24.36,16.11,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.2 on 2026-02-19.39, g=17.1 on 2026-02-20.38, g=16.3 on 2026-02-23.38",279.65045833333335,-79.4828888888889
