event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
1998-BUL-01,BUL_SC3,469296,17:53:40.36,268.41816667,-30:10:20.1,-30.17225,2450887.185,1998-03-14.69,39.77,,3.263,1.284,,,17.18
1998-BUL-02,BUL_SC21,678389,18:00:40.20,270.1675,-29:19:35.2,-29.32644444,2450890.374,1998-03-17.87,58.644,,2.698,1.078,,,18.042
1998-BUL-03,BUL_SC30,236837,18:01:18.12,270.3255,-29:05:49.9,-29.09719444,2450901.185,1998-03-28.68,45.86,,1.703,0.578,,,17.034
1998-BUL-04,BUL_SC31,513194,18:02:29.02,270.62091667,-28:33:12.5,-28.55347222,2450913.623,1998-04-10.12,17.332,,1.962,0.732,,,17.227
1998-BUL-05,BUL_SC27,568529,17:48:42.80,267.17833333,-35:23:08.5,-35.38569444,2450914.155,1998-04-10.65,19.154,,6.595,2.048,,,18.337
1998-BUL-06,BUL_SC4,568740,17:54:49.35,268.705625,-29:20:25.0,-29.34027778,2450915.884,1998-04-12.38,16.337,,1.430,0.388,,,15.593
1998-BUL-07,BUL_SC33,85552,18:05:02.33,271.25970833,-28:55:17.9,-28.92163889,2450917.097,1998-04-13.60,26.098,,3.460,1.348,,,17.483
1998-BUL-08,BUL_SC3,601945,17:53:36.63,268.402625,-29:31:21.2,-29.52255556,2450923.572,1998-04-20.07,40.187,,1.621,0.525,,,17.354
1998-BUL-09,BUL_SC26,395449,17:47:23.43,266.847625,-35:17:40.9,-35.29469444,2450926.608,1998-04-23.11,31.341,,1.599,0.510,,,17.259
1998-BUL-10,BUL_SC41,428823,17:52:19.07,268.07945833,-32:48:20.8,-32.80577778,2450927.471,1998-04-23.97,49.282,,3.882,1.473,,,18.933
1998-BUL-11,BUL_SC31,24931,18:02:00.24,270.501,-28:57:27.8,-28.95772222,2450930.841,1998-04-27.34,10.171,,2.630,1.050,,,17.674
1998-BUL-12,BUL_SC4,487470,17:54:41.54,268.67308333,-29:46:03.5,-29.76763889,2450959.22,1998-05-25.72,34.778,,1.234,0.228,,,12.932
1998-BUL-13,BUL_SC22,258372,17:56:35.30,269.14708333,-30:56:33.4,-30.94261111,2450944.952,1998-05-11.45,51.046,,3.095,1.227,,,17.002
1998-BUL-14,BUL_SC3,91382,17:53:09.33,268.288875,-30:01:12.1,-30.02002778,2450956.002,1998-05-22.50,38.257,,14.566,2.908,,,16.501
1998-BUL-15,BUL_SC18,594723,18:07:20.83,271.83679167,-27:34:10.8,-27.56966667,2450944.358,1998-05-10.86,18.15,,13.861,2.854,,,18.641
1998-BUL-16,BUL_SC5,63662,17:49:52.76,267.46983333,-29:45:27.2,-29.75755556,2450934.26,1998-04-30.76,15.7,,2.331,0.919,,,17.821
1998-BUL-17,BUL_SC34,144644,17:57:47.60,269.44833333,-29:03:54.3,-29.06508333,2450949.426,1998-05-15.93,7.559,,3.697,1.420,,,16.349
1998-BUL-18,BUL_SC4,267762,17:54:21.79,268.59079167,-29:53:24.0,-29.89,2450971.027,1998-06-06.53,6.959,,4.096,1.531,,,15.464
1998-BUL-19,BUL_SC31,631037,18:02:40.12,270.66716667,-28:56:28.1,-28.94113889,2450965.927,1998-06-01.43,27.877,,4.017,1.510,,,18.863
1998-BUL-20,BUL_SC44,288419,17:49:49.15,267.45479167,-29:49:10.3,-29.81952778,2450967.175,1998-06-02.67,9.488,,1.747,0.606,,,16.819
1998-BUL-21,BUL_SC34,651798,17:58:33.77,269.64070833,-28:54:28.7,-28.90797222,2450992.449,1998-06-27.95,25.647,,2.459,0.977,,,15.553
1998-BUL-22,BUL_SC38,95103,18:01:09.74,270.29058333,-29:56:18.9,-29.93858333,2450990.462,1998-06-25.96,6.941,,6.468,2.027,,,15.972
1998-BUL-23,BUL_SC35,451130,18:04:33.63,271.140125,-28:07:32.2,-28.12561111,2450997.51,1998-07-03.01,16.297,,1.741,0.602,,,15.35
1998-BUL-24,BUL_SC14,194722,17:46:47.64,266.6985,-23:24:02.0,-23.40055556,2450995.344,1998-06-30.84,13.816,,1.143,0.145,,,15.992
1998-BUL-25,BUL_SC44,256957,17:49:40.00,267.41666667,-30:10:12.0,-30.17,2451041.426,1998-08-15.93,32.886,,2.043,0.775,,,17.725
1998-BUL-26,BUL_SC4,134300,17:54:13.04,268.55433333,-29:35:14.1,-29.58725,2451039.453,1998-08-13.95,21.494,,1.424,0.384,,,16.742
1998-BUL-27,BUL_SC3,588309,17:53:38.65,268.41104167,-29:33:42.3,-29.56175,2451048.612,1998-08-23.11,23.265,,1.196,0.194,,,14.863
1998-BUL-28,BUL_SC3,792295,17:53:54.15,268.475625,-29:36:40.6,-29.61127778,2451056.406,1998-08-30.91,95.913,,6.855,2.090,,,19.247
1998-BUL-29,BUL_SC44,222903,17:49:22.49,267.34370833,-29:36:52.9,-29.61469444,2451042.258,1998-08-16.76,14.466,,9036.7,9.890,,,19.212
1998-BUL-30,BUL_SC5,59256,17:49:55.59,267.481625,-29:48:03.3,-29.80091667,2451043.474,1998-08-17.97,12.864,,3.666,1.410,,,18.799
1998-BUL-31,BUL_SC4,463924,17:54:43.94,268.68308333,-29:51:18.2,-29.85505556,2451061.474,1998-09-04.97,30.785,,1.430,0.388,,,16.575
1998-BUL-32,BUL_SC42,347998,18:09:10.54,272.29391667,-27:06:42.0,-27.11166667,2451028.081,1998-08-02.58,33.041,,>23,>3.4,,,18.285
1998-BUL-33,BUL_SC17,270411,18:10:59.47,272.74779167,-26:13:16.3,-26.22119444,2451043.215,1998-08-17.71,18.308,,3.423,1.336,,,18.468
1998-BUL-34,BUL_SC22,390560,17:56:56.81,269.23670833,-31:11:51.0,-31.1975,2451073.877,1998-09-17.38,16.233,,1.961,0.731,,,16.356
1998-BUL-35,BUL_SC22,167822,17:56:25.81,269.10754167,-30:26:56.4,-30.449,2451059.522,1998-09-03.02,8.229,,10.125,2.513,,,18.564
1998-BUL-36,BUL_SC35,54409,18:04:02.87,271.01195833,-28:09:22.4,-28.15622222,2451083.895,1998-09-27.39,11.646,,3.071,1.218,,,17.261
1998-BUL-37,BUL_SC2,495787,18:04:42.38,271.17658333,-28:59:38.7,-28.99408333,2451082.506,1998-09-26.01,18.706,,2.517,1.002,,,18.577
1998-BUL-38,BUL_SC39,448437,17:55:51.91,268.96629167,-30:02:31.4,-30.04205556,2451095.177,1998-10-08.68,17.069,,1.446,0.400,,,14.705
1998-BUL-39,BUL_SC4,451457,17:54:44.69,268.68620833,-29:55:42.8,-29.92855556,2451129.326,1998-11-11.83,37.784,,15.170,2.952,,,16.856
1998-BUL-40,BUL_SC41,568646,17:52:31.53,268.131375,-32:50:53.0,-32.84805556,2451167.389,1998-12-19.89,96.515,,7648.0,9.709,,,17.941
1998-BUL-41,BUL_SC21,766993,18:00:39.38,270.16408333,-28:55:14.6,-28.92072222,2451120.742,1998-11-03.24,28.588,,1.370,0.342,,,15.474
1999-BUL-01,BUL_SC39,623258,17:56:04.05,269.016875,-30:08:53.0,-30.14805556,2451171.781,1998-12-24.28,87.707,,1.490,0.433,,,16.969
1999-CAR-01,CAR_SC2,24589,11:07:26.72,166.86133333,-61:22:30.6,-61.37516667,2451284.207,1999-04-15.71,89.889,,3.010,1.196,,,17.965
1999-BUL-02,BUL_SC4,522952,17:54:38.64,268.661,-29:33:12.8,-29.55355556,2451257.219,1999-03-19.72,23.077,,2.382,0.942,,,15.396
1999-BUL-03,BUL_SC6,243857,18:08:02.64,272.011,-31:49:05.1,-31.81808333,2451252.013,1999-03-14.51,85.02,,12.696,2.759,,,17.864
1999-BUL-04,BUL_SC23,240146,17:57:21.28,269.33866667,-31:33:51.1,-31.56419444,2451260.55,1999-03-23.05,24.4,,1.312,0.295,,,17.001
1999-BUL-05,BUL_SC26,502486,17:47:24.05,266.85020833,-34:46:21.5,-34.77263889,2451275.2,1999-04-06.70,48.13,,30.025,3.694,,,18.828
1999-BUL-06,BUL_SC30,57488,18:01:02.52,270.2605,-29:00:11.6,-29.00322222,2451274.293,1999-04-05.79,14.362,,1.649,0.543,,,15.081
1999-BUL-07,BUL_SC38,120518,18:01:10.23,270.292625,-29:48:55.2,-29.81533333,2451316.249,1999-05-17.75,34.35,,2.086,0.798,,,15.929
1999-BUL-08,BUL_SC24,198910,17:53:02.78,268.26158333,-33:07:33.5,-33.12597222,2451287.492,1999-04-18.99,23.55,,8.983,2.384,,,19.012
1999-BUL-09,BUL_SC14,177997,17:47:02.44,266.76016667,-23:30:34.8,-23.50966667,2451287.743,1999-04-19.24,14.687,,36.869,3.917,,,18.886
1999-BUL-10,BUL_SC23,294092,17:57:51.21,269.463375,-31:10:44.6,-31.17905556,2451294.951,1999-04-26.45,17.036,,2.196,0.854,,,17.881
1999-BUL-11,BUL_SC36,336761,18:05:29.59,271.37329167,-27:59:14.4,-27.98733333,2451331.929,1999-06-02.43,0.67,,5.185,1.787,,,18.258
1999-BUL-12,BUL_SC30,165305,18:01:07.74,270.28225,-28:31:41.7,-28.52825,2451301.838,1999-05-03.34,21.895,,2.430,0.964,,,14.593
1999-BUL-13,BUL_SC14,358001,17:47:05.18,266.77158333,-23:19:46.1,-23.32947222,2451317.98,1999-05-19.48,18.316,,1.729,0.595,,,15.521
1999-BUL-14,BUL_SC3,457512,17:53:41.47,268.42279167,-30:14:54.0,-30.24833333,2451321.113,1999-05-22.61,20.474,,1.365,0.338,,,17.341
1999-BUL-15,BUL_SC22,638508,17:57:08.43,269.285125,-30:48:30.3,-30.80841667,2451309.06,1999-05-10.56,15.363,,5.808,1.910,,,19.286
1999-BUL-16,BUL_SC43,243401,17:35:13.80,263.8075,-27:34:38.8,-27.57744444,2451334.424,1999-06-04.92,25.04,,1.505,0.444,,,17.155
1999-BUL-17,BUL_SC31,293442,18:02:22.51,270.59379167,-28:40:43.9,-28.67886111,2451315.322,1999-05-16.82,9.741,,3.987,1.502,,,18.642
1999-BUL-18,BUL_SC38,589586,18:01:47.98,270.44991667,-30:09:37.7,-30.16047222,2451319.837,1999-05-21.34,26.496,,1.739,0.601,,,18.335
1999-BUL-19,BUL_SC40,434222,17:51:10.76,267.79483333,-33:03:44.1,-33.06225,2451624.789,2000-03-21.29,136.044,,8.347,2.304,,,16.019
1999-BUL-20,BUL_SC37,369822,17:52:36.84,268.1535,-30:11:30.6,-30.19183333,2451317.034,1999-05-18.53,2.397,,1.294,0.280,,,15.246
1999-BUL-21,BUL_SC4,201173,17:54:15.99,268.566625,-29:18:49.7,-29.31380556,2451318.911,1999-05-20.41,10.464,,2.912,1.161,,,18.908
1999-BUL-22,BUL_SC40,497858,17:51:31.82,267.88258333,-33:34:00.9,-33.56691667,2451323.572,1999-05-25.07,7.055,,3.002,1.193,,,17.672
1999-LMC-01,LMC_SC8,235928,5:16:53.28,79.222,-69:16:30.0,-69.275,2451337.269,1999-06-07.77,50.728,,32.362,3.775,,,19.869
1999-BUL-23,BUL_SC19,26606,18:07:45.14,271.93808333,-27:33:15.4,-27.55427778,2451344.537,1999-06-15.04,21.593,,11.682,2.669,,,17.85
1999-BUL-24,BUL_SC17,509249,18:11:10.91,272.79545833,-25:50:00.5,-25.83347222,2451335.444,1999-06-05.94,8.942,,1.795,0.635,,,18.231
1999-BUL-25,BUL_SC20,708586,17:59:41.14,269.92141667,-28:47:18.4,-28.78844444,2451343.677,1999-06-14.18,16.21,,5.561,1.863,,,18.516
1999-BUL-26,BUL_SC31,342145,18:02:17.98,270.57491667,-28:25:28.3,-28.42452778,2451344.617,1999-06-15.12,6.059,,1.102,0.106,,,16.613
1999-BUL-27,BUL_SC3,77887,17:53:09.83,268.29095833,-30:02:52.5,-30.04791667,2451366.206,1999-07-06.71,25.787,,1.583,0.498,,,17.176
1999-BUL-28,BUL_SC42,262259,18:09:04.93,272.27054167,-26:44:38.3,-26.74397222,2451346.783,1999-06-17.28,5.972,,3.261,1.283,,,17.88
1999-BUL-29,BUL_SC4,681764,17:54:55.29,268.730375,-29:44:38.6,-29.74405556,2451364.787,1999-07-05.29,27.249,,3.997,1.504,,,18.842
1999-BUL-30,BUL_SC18,81415,18:06:37.16,271.65483333,-27:16:26.9,-27.27413889,2451358.746,1999-06-29.25,12.909,,1.862,0.675,,,18.504
1999-BUL-31,BUL_SC19,614666,18:08:32.71,272.13629167,-27:22:13.5,-27.37041667,2451358.488,1999-06-28.99,5.736,,13.881,2.856,,,18.144
1999-BUL-32,BUL_SC33,164492,18:05:05.34,271.27225,-28:34:42.3,-28.57841667,2451366.44,1999-07-06.94,164.66,,7.262,2.153,,,18.319
1999-BUL-33,BUL_SC23,524386,17:57:56.24,269.48433333,-30:51:58.9,-30.86636111,2451434.514,1999-09-13.01,53.803,,2.940,1.171,,,16.625
1999-BUL-34,BUL_SC37,655063,17:52:48.61,268.20254167,-29:32:35.1,-29.54308333,2451369.64,1999-07-10.14,6.09,,2.691,1.075,,,16.398
1999-BUL-35,BUL_SC44,17823,17:49:01.66,267.25691667,-30:15:40.4,-30.26122222,2451391.81,1999-08-01.31,28.962,,28.517,3.638,,,18.888
1999-BUL-36,BUL_SC10,454300,18:20:30.00,275.125,-21:57:04.7,-21.95130556,2451392.576,1999-08-02.08,28.295,,15.816,2.998,,,17.643
1999-BUL-37,BUL_SC38,627315,18:01:51.02,270.46258333,-29:56:50.1,-29.94725,2451399.075,1999-08-08.57,22.469,,1.313,0.296,,,16.21
1999-BUL-38,BUL_SC7,350881,18:09:34.21,272.39254167,-32:33:00.1,-32.55002778,2451406.987,1999-08-16.49,40.866,,1.626,0.528,,,18.033
1999-BUL-39,BUL_SC13,148843,18:16:53.06,274.22108333,-24:25:47.3,-24.42980556,2451437.181,1999-09-15.68,49.302,,2.006,0.756,,,17.953
1999-BUL-40,BUL_SC12,179428,18:15:59.02,273.99591667,-24:10:04.9,-24.16802778,2451397.646,1999-08-07.15,10.564,,5.891,1.926,,,19.78
1999-BUL-41,BUL_SC4,708424,17:55:00.07,268.75029167,-29:35:03.7,-29.58436111,2451397.784,1999-08-07.28,5.962,,4.089,1.529,,,15.626
1999-BUL-42,BUL_SC33,476067,18:05:38.68,271.41116667,-28:52:11.2,-28.86977778,2451405.133,1999-08-14.63,21.202,,2.176,0.844,,,18.39
1999-BUL-43,BUL_SC42,591554,18:09:29.58,272.37325,-26:29:48.7,-26.49686111,2451405.678,1999-08-15.18,13.788,,2.569,1.024,,,18.652
1999-BUL-44,BUL_SC2,65831,18:04:06.85,271.02854167,-29:01:17.2,-29.02144444,2451460.18,1999-10-08.68,32.238,,1.354,0.329,,,14.561
1999-BUL-45,BUL_SC39,259656,17:55:34.31,268.89295833,-30:01:06.6,-30.0185,2451420.354,1999-08-29.85,27.94,,1.525,0.458,,,17.713
1999-BUL-46,BUL_SC18,579405,18:07:21.01,271.83754167,-27:40:04.0,-27.66777778,2451538.597,1999-12-26.10,54.082,,26.337,3.551,,,16.604
2000-BUL-01,BUL_SC27,417748,17:48:28.86,267.12025,-35:18:35.3,-35.30980556,2451585.643,2000-02-11.14,13.98,,5.097,1.768,,,18.477
2000-BUL-02,BUL_SC5,152125,17:50:13.30,267.55541667,-29:49:57.6,-29.83266667,2451566.234,2000-01-22.73,83.321,,1.958,0.729,,,15.075
2000-BUL-03,BUL_SC43,272803,17:35:16.42,263.81841667,-27:18:40.5,-27.31125,2451581.868,2000-02-07.37,62.973,,1.852,0.669,,,17.563
2000-BUL-04,BUL_SC5,348855,17:50:51.07,267.71279167,-30:10:22.2,-30.17283333,2451581.467,2000-02-06.97,28.123,,1.362,0.335,,,14.99
2000-SCO-01,SCO_SC7,38447,17:03:05.58,255.77325,-44:21:23.8,-44.35661111,2451491.653,1999-11-09.15,88.623,,2006.3,8.256,,,16.89
2000-BUL-05,BUL_SC33,540825,18:05:45.79,271.44079167,-28:30:52.4,-28.51455556,2451552.902,2000-01-09.40,57.926,,2.759,1.102,,,15.215
2000-BUL-06,BUL_SC22,77397,17:56:26.85,269.111875,-30:54:27.4,-30.90761111,2451620.938,2000-03-17.44,22.756,,32.448,3.778,,,17.195
2000-BUL-07,BUL_SC4,321697,17:54:25.13,268.60470833,-29:37:49.4,-29.63038889,2451615.292,2000-03-11.79,25.366,,1.880,0.685,,,16.762
2000-LMC-01,LMC_SC9,4007,5:12:44.91,78.187125,-69:41:28.1,-69.69113889,2451603.828,2000-02-29.33,45.246,,4.114,1.536,,,20.503
2000-BUL-08,BUL_SC15,362747,17:48:09.57,267.039875,-23:14:00.2,-23.23338889,2451625.05,2000-03-21.55,49.099,,1.450,0.404,,,15.706
2000-SCO-02,SCO_SC1,131946,16:41:02.61,250.260875,-44:36:02.5,-44.60069444,2451702.03,2000-06-06.53,16.356,,4.657,1.670,,,18.745
2000-BUL-09,BUL_SC21,166607,18:00:00.22,270.00091667,-28:38:18.3,-28.63841667,2451614.779,2000-03-11.28,16.568,,2.088,0.799,,,17.864
2000-BUL-10,BUL_SC34,451887,17:58:14.20,269.55916667,-28:48:22.3,-28.80619444,2451580.552,2000-02-06.05,54.537,,1.878,0.684,,,15.918
2000-BUL-11,BUL_SC43,357654,17:35:37.97,263.90820833,-27:37:14.6,-27.62072222,2451616.062,2000-03-12.56,8.413,,3.772,1.441,,,17.741
2000-BUL-12,BUL_SC43,244614,17:35:13.40,263.80583333,-27:35:18.7,-27.58852778,2451635.963,2000-04-01.46,25.569,,50.678,4.262,,,18.875
2000-BUL-13,BUL_SC37,401293,17:52:32.30,268.13458333,-29:58:46.8,-29.97966667,2451654.364,2000-04-19.86,47.379,,1.198,0.196,,,15.344
2000-BUL-14,BUL_SC3,91894,17:53:08.92,268.28716667,-29:59:02.6,-29.98405556,2451630.075,2000-03-26.57,27.855,,1.317,0.299,,,16.972
2000-BUL-15,BUL_SC40,443839,17:51:11.19,267.796625,-33:00:57.0,-33.01583333,2451630.712,2000-03-27.21,5.457,,2.398,0.950,,,15.202
2000-BUL-16,BUL_SC24,145952,17:52:46.03,268.19179167,-32:30:23.8,-32.50661111,2451632.039,2000-03-28.54,23.31,,7.383,2.171,,,18.437
2000-BUL-17,BUL_SC5,230720,17:50:27.62,267.61508333,-30:09:29.9,-30.15830556,2451648.932,2000-04-14.43,22.905,,5.357,1.822,,,16.666
2000-BUL-18,BUL_SC24,233671,17:53:15.27,268.313625,-32:55:35.0,-32.92638889,2451634.76,2000-03-31.26,3.857,,1.818,0.649,,,18.999
2000-BUL-19,BUL_SC41,308026,17:52:16.43,268.06845833,-33:33:58.9,-33.56636111,2451652.438,2000-04-17.94,42.129,,2.778,1.109,,,18.802
2000-BUL-20,BUL_SC30,289030,18:01:24.97,270.35404167,-28:50:41.4,-28.84483333,2451647.327,2000-04-12.83,25.86,,3.173,1.254,,,17.967
2000-BUL-21,BUL_SC2,423881,18:04:26.00,271.10833333,-28:26:31.4,-28.44205556,2451655.508,2000-04-21.01,20.955,,4.270,1.576,,,19.16
2000-BUL-22,BUL_SC19,47385,18:07:41.84,271.92433333,-27:28:25.7,-27.47380556,2451668.036,2000-05-03.54,107.329,,4.373,1.602,,,19.915
2000-BUL-23,BUL_SC24,435701,17:53:33.27,268.388625,-32:33:29.1,-32.55808333,2451665.599,2000-05-01.10,8.626,,3.123,1.237,,,18.919
2000-BUL-24,BUL_SC27,554610,17:48:49.20,267.205,-35:25:28.5,-35.42458333,2451683.554,2000-05-19.05,22.708,,1.248,0.241,,,14.203
2000-BUL-25,BUL_SC37,645044,17:52:58.69,268.24454167,-29:34:22.2,-29.57283333,2451685.691,2000-05-21.19,13.399,,3.331,1.306,,,16.449
2000-BUL-26,BUL_SC3,478487,17:53:47.38,268.44741667,-30:05:26.2,-30.09061111,2451705.657,2000-06-10.16,33.731,,1.594,0.506,,,14.045
2000-BUL-27,BUL_SC4,274100,17:54:26.55,268.610625,-29:51:05.7,-29.85158333,2451681.489,2000-05-16.99,14.472,,3.819,1.455,,,18.557
2000-BUL-28,BUL_SC34,358528,17:58:13.12,269.55466667,-29:09:14.3,-29.15397222,2451678.314,2000-05-13.81,8.541,,6132.3,9.469,,,16.977
2000-BUL-29,BUL_SC37,463341,17:52:44.65,268.18604167,-29:39:57.0,-29.66583333,2451698.297,2000-06-02.80,19.739,,3.708,1.423,,,17.067
2000-BUL-30,BUL_SC30,454605,18:01:30.89,270.37870833,-28:59:26.7,-28.99075,2451780.789,2000-08-24.29,65.706,,1.638,0.536,,,15.572
2000-BUL-31,BUL_SC12,430062,18:16:33.27,274.138625,-24:14:22.7,-24.23963889,2451743.24,2000-07-17.74,28.227,,7.637,2.207,,,15.498
2000-BUL-32,BUL_SC14,73292,17:46:37.46,266.65608333,-23:08:57.8,-23.14938889,2451725.975,2000-06-30.48,55.005,,1.127,0.130,,,16.49
2000-BUL-33,BUL_SC17,597331,18:11:28.29,272.867875,-26:15:05.8,-26.25161111,2451730.172,2000-07-04.67,36.774,,6.975,2.109,,,16.991
2000-BUL-34,BUL_SC43,384214,17:35:36.03,263.900125,-27:23:18.1,-27.38836111,2451710.771,2000-06-15.27,15.495,,3.520,1.366,,,17.762
2000-BUL-35,BUL_SC41,467827,17:52:24.55,268.10229167,-33:30:04.3,-33.50119444,2451702.91,2000-06-07.41,8.907,,75.181,4.690,,,18.469
2000-BUL-36,BUL_SC20,371199,17:59:08.14,269.78391667,-28:32:57.0,-28.54916667,2451712.371,2000-06-16.87,23.629,,1.135,0.137,,,16.067
2000-BUL-37,BUL_SC14,235123,17:47:00.44,266.75183333,-23:09:48.7,-23.16352778,2451714.101,2000-06-18.60,13.317,,1.693,0.572,,,17.633
2000-BUL-38,BUL_SC3,318561,17:53:19.20,268.33,-29:57:33.9,-29.95941667,2451716.2,2000-06-20.70,,,,,,,17.87
2000-BUL-39,BUL_SC22,371120,17:56:43.74,269.18225,-30:22:23.7,-30.37325,2451719.628,2000-06-24.13,13.365,,1.312,0.295,,,17.099
2000-BUL-40,BUL_SC17,404893,18:11:12.40,272.80166667,-26:24:10.3,-26.40286111,2451785.386,2000-08-28.89,57.705,,1.876,0.683,,,16.542
2000-BUL-41,BUL_SC4,65601,17:54:09.41,268.53920833,-29:53:36.9,-29.89358333,2451767.256,2000-08-10.76,26.467,,1.910,0.703,,,13.897
2000-BUL-42,BUL_SC31,111306,18:01:52.14,270.46725,-28:32:36.5,-28.54347222,2451749.183,2000-07-23.68,41.472,,1.227,0.222,,,13.54
2000-BUL-43,BUL_SC7,20290,18:08:43.04,272.17933333,-32:24:39.5,-32.41097222,2451898.843,2000-12-20.34,173.611,,27493.9,11.098,,,13.752
2000-BUL-44,BUL_SC19,656772,18:08:18.42,272.07675,-27:07:16.2,-27.12116667,2451745.711,2000-07-20.21,35.096,,1.481,0.426,,,17.968
2000-BUL-45,BUL_SC7,68991,18:08:46.39,272.19329167,-32:03:00.8,-32.05022222,2451771.488,2000-08-14.99,67.315,,5.024,1.753,,,19.199
2000-BUL-46,BUL_SC4,746833,17:54:55.36,268.73066667,-29:24:59.8,-29.41661111,2451750.626,2000-07-25.13,,,,,,,17.951
2000-BUL-47,BUL_SC4,489287,17:54:42.92,268.67883333,-29:44:12.1,-29.73669444,2451751.267,2000-07-25.77,7.888,,1.209,0.206,,,16.329
2000-BUL-48,BUL_SC30,636963,18:01:44.80,270.43666667,-28:58:03.5,-28.96763889,2451775.713,2000-08-19.21,18.853,,2.970,1.182,,,15.764
2000-BUL-49,BUL_SC20,274481,17:59:17.80,269.82416667,-29:02:51.4,-29.04761111,2451751.456,2000-07-25.96,14.799,,1.533,0.464,,,17.77
2000-BUL-50,BUL_SC33,257733,18:05:28.41,271.368375,-29:00:46.2,-29.01283333,2451774.396,2000-08-17.90,20.728,,1.340,0.318,,,15.827
2000-BUL-51,BUL_SC3,457322,17:53:41.85,268.424375,-30:15:22.3,-30.25619444,2451762.731,2000-08-06.23,18.823,,1.513,0.450,,,17.479
2000-BUL-52,BUL_SC39,338829,17:55:26.64,268.861,-29:37:55.9,-29.63219444,2451752.887,2000-07-27.39,2.742,,2.979,1.185,,,17.69
2000-BUL-53,BUL_SC28,187954,17:47:01.60,266.75666667,-36:47:58.5,-36.79958333,2451759.248,2000-08-02.75,14.19,,1.850,0.668,,,19.08
2000-BUL-54,BUL_SC41,410758,17:52:19.27,268.08029167,-32:57:04.8,-32.95133333,2451767.33,2000-08-10.83,25.852,,3.516,1.365,,,18.451
2000-BUL-55,BUL_SC30,94465,18:01:06.71,270.27795833,-28:52:22.6,-28.87294444,2451783.789,2000-08-27.29,29.468,,27.894,3.614,,,18.416
2000-BUL-56,BUL_SC35,286520,18:04:12.66,271.05275,-28:01:08.4,-28.019,2451785.606,2000-08-29.11,16.378,,3.110,1.232,,,18.136
2000-BUL-57,BUL_SC40,576815,17:51:27.25,267.86354167,-33:06:58.4,-33.11622222,2451775.601,2000-08-19.10,5.598,,6.570,2.044,,,18.881
2000-BUL-58,BUL_SC43,243111,17:35:28.91,263.87045833,-27:34:08.7,-27.56908333,2451775.378,2000-08-18.88,2.54,,1.943,0.721,,,16.683
2000-BUL-59,BUL_SC21,234352,17:59:54.38,269.97658333,-28:25:47.2,-28.42977778,2451779.728,2000-08-23.23,14.346,,11.045,2.608,,,19.429
2000-BUL-60,BUL_SC22,414328,17:56:59.20,269.24666667,-31:03:22.3,-31.05619444,2451832.7,2000-10-15.20,39.467,,1.568,0.488,,,16.395
2000-BUL-61,BUL_SC33,290665,18:05:29.67,271.373625,-28:51:03.3,-28.85091667,2451858.909,2000-11-10.41,71.212,,1.292,0.278,,,15.938
2000-BUL-62,BUL_SC30,478797,18:01:26.82,270.36175,-28:52:34.9,-28.87636111,2451799.727,2000-09-12.23,21.142,,1.297,0.282,,,15.554
2000-BUL-63,BUL_SC41,251743,17:51:53.89,267.97454167,-32:59:10.8,-32.98633333,2451808.323,2000-09-20.82,17.738,,1.552,0.477,,,17.263
2000-BUL-64,BUL_SC32,702134,18:03:54.71,270.97795833,-28:34:58.8,-28.583,2451795.91,2000-09-08.41,14.75,,6.858,2.091,,,17.502
2000-BUL-65,BUL_SC39,448311,17:55:44.55,268.935625,-30:05:19.6,-30.08877778,2451838.711,2000-10-21.21,33.877,,1.494,0.436,,,15.212
2000-BUL-66,BUL_SC4,245463,17:54:30.06,268.62525,-29:57:59.2,-29.96644444,2451806.649,2000-09-19.15,28.139,,1.391,0.358,,,17.391
2000-BUL-67,BUL_SC39,1073,17:55:10.06,268.79191667,-30:10:29.5,-30.17486111,2451808.289,2000-09-20.79,10.56,,1.395,0.361,,,16.342
2000-BUL-68,BUL_SC34,908441,17:58:43.03,269.67929167,-28:50:17.2,-28.83811111,2451811.147,2000-09-23.65,3.617,,2.852,1.138,,,18.195
2000-BUL-69,BUL_SC14,386574,17:47:05.90,266.77458333,-23:09:57.2,-23.16588889,2451820.862,2000-10-03.36,16.474,,1.189,0.188,,,16.201
2000-BUL-70,BUL_SC24,522165,17:53:36.61,268.40254167,-32:59:28.9,-32.99136111,2451814.533,2000-09-27.03,16.591,,2.349,0.927,,,19.104
2000-BUL-71,BUL_SC19,537362,18:08:09.30,272.03875,-26:49:12.5,-26.82013889,2451844.562,2000-10-27.06,63.811,,1.331,0.311,,,16.075
2000-BUL-72,BUL_SC40,565371,17:51:25.94,267.85808333,-33:09:29.2,-33.15811111,2451826.736,2000-10-09.24,15.83,,1.800,0.638,,,17.523
2000-BUL-73,BUL_SC3,166539,17:53:04.21,268.26754167,-29:43:35.2,-29.72644444,2451830.083,2000-10-12.58,13.025,,4.109,1.534,,,18.33
2000-BUL-74,BUL_SC31,737372,18:02:53.30,270.72208333,-28:23:18.3,-28.38841667,2451836.08,2000-10-18.58,47.726,,44.796,4.128,,,19.026
