event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
2023-BLG-0639,BLG511.02,108089,18:04:21.86,271.09108333,-27:55:48.1,-27.93002778,2460102.635,2023-06-07.13,23.499,0.152,6.618,1.162,0.341,19.934,21.102
2023-BLG-0640,BLG511.04,137967,18:02:59.30,270.74708333,-27:43:28.7,-27.72463889,2460096.12,2023-05-31.62,1.797,0.994,1.346,0.322,1.0,18.851,18.851
2023-BLG-0641,BLG511.24,1527,18:01:12.63,270.302625,-27:22:05.4,-27.36816667,2460102.881,2023-06-07.38,11.197,1.12,1.267,0.257,1.0,18.697,18.697
2023-BLG-0642,BLG511.24,6689,18:01:11.15,270.29645833,-27:18:53.6,-27.31488889,2460098.25,2023-06-02.75,3.534,0.087,11.482,1.770,0.391,18.482,19.501
2023-BLG-0643,BLG527.01,80766,18:20:49.42,275.20591667,-23:30:46.1,-23.51280556,2460100.452,2023-06-04.95,72.077,0.089,11.217,1.776,0.404,20.251,21.234
2023-BLG-0644,BLG528.32,1267,18:17:20.63,274.33595833,-23:58:10.0,-23.96944444,2460093.737,2023-05-29.24,2.797,0.613,1.853,0.670,1.0,17.926,17.926
2023-BLG-0645,BLG530.15,1492,18:17:25.08,274.3545,-27:00:38.6,-27.01072222,2460097.51,2023-06-02.01,20.474,1.702,1.096,0.099,1.0,16.752,16.752
2023-BLG-0646,BLG530.23,177979,18:17:47.12,274.44633333,-26:29:40.4,-26.49455556,2460083.974,2023-05-19.47,13.486,0.45,2.389,0.946,1.0,18.425,18.425
2023-BLG-0647,BLG604.22,148125,17:45:05.15,266.27145833,-35:05:30.2,-35.09172222,2460104.33,2023-06-08.83,66.723,0.109,9.227,0.506,0.072,17.577,20.431
2023-BLG-0648,BLG613.16,80838,17:27:05.38,261.77241667,-29:26:05.4,-29.43483333,2460112.224,2023-06-16.72,23.984,1.305,1.188,0.187,1.0,16.694,16.694
